timestamp,home_team_name,away_team_name,home_team_goal_count,away_team_goal_count
1712412000,Everton,Burnley,1,0
1712412000,Fulham,Newcastle United,0,1
1712412000,Luton Town,AFC Bournemouth,2,1
1712412000,Wolverhampton Wanderers,West Ham United,1,2
1712421000,Brighton & Hove Albion,Arsenal,0,3
1712500200,Manchester United,Liverpool,2,2
1712507400,Sheffield United,Chelsea,2,2
1712509200,Tottenham Hotspur,Nottingham Forest,3,1
1713007800,Newcastle United,Tottenham Hotspur,4,0
1713016800,Brentford,Sheffield United,2,0
1713016800,Burnley,Brighton & Hove Albion,1,1
1713016800,Manchester City,Luton Town,5,1
1713016800,Nottingham Forest,Wolverhampton Wanderers,2,2
1713025800,AFC Bournemouth,Manchester United,2,2
1713099600,Liverpool,Crystal Palace,0,1
1713099600,West Ham United,Fulham,0,2
1713108600,Arsenal,Aston Villa,0,2
1713207600,Chelsea,Everton,6,0
1713621600,Luton Town,Brentford,1,5
1713621600,Sheffield United,Burnley,1,4
1713637800,Wolverhampton Wanderers,Arsenal,0,2
1713702600,Everton,Nottingham Forest,2,0
1713708000,Aston Villa,AFC Bournemouth,3,1
1713708000,Crystal Palace,West Ham United,5,2
1713713400,Fulham,Liverpool,1,3
1713898800,Arsenal,Chelsea,5,0
1713984300,Wolverhampton Wanderers,AFC Bournemouth,0,1
1713985200,Crystal Palace,Newcastle United,2,0
1713985200,Everton,Liverpool,2,0
1713985200,Manchester United,Sheffield United,4,2
1714071600,Brighton & Hove Albion,Manchester City,0,4
1714217400,West Ham United,Liverpool,2,2
1714226400,Fulham,Crystal Palace,1,1
1714226400,Manchester United,Burnley,1,1
1714226400,Newcastle United,Sheffield United,5,1
1714226400,Wolverhampton Wanderers,Luton Town,2,1
1714235400,Everton,Brentford,1,0
1714244400,Aston Villa,Chelsea,2,2
1714309200,AFC Bournemouth,Brighton & Hove Albion,3,0
1714309200,Tottenham Hotspur,Arsenal,2,3
1714318200,Nottingham Forest,Manchester City,0,2
1714674600,Chelsea,Tottenham Hotspur,2,0
1714762800,Luton Town,Everton,1,1
1714822200,Arsenal,AFC Bournemouth,3,0
1714831200,Brentford,Fulham,0,0
1714831200,Burnley,Newcastle United,1,4
1714831200,Sheffield United,Nottingham Forest,1,3
1714840200,Manchester City,Wolverhampton Wanderers,5,1
1714914000,Brighton & Hove Albion,Aston Villa,1,0
1714914000,Chelsea,West Ham United,5,0
1714923000,Liverpool,Tottenham Hotspur,4,2
1715022000,Crystal Palace,Manchester United,4,0
1715427000,Fulham,Manchester City,0,4
1715436000,AFC Bournemouth,Brentford,1,2
1715436000,Everton,Sheffield United,1,0
1715436000,Newcastle United,Brighton & Hove Albion,1,1
1715436000,Tottenham Hotspur,Burnley,2,1
1715436000,West Ham United,Luton Town,3,1
1715436000,Wolverhampton Wanderers,Crystal Palace,1,3
1715445000,Nottingham Forest,Chelsea,2,3
1715527800,Manchester United,Arsenal,0,1
1715626800,Aston Villa,Liverpool,3,3
1715713200,Tottenham Hotspur,Manchester City,0,2
1715798700,Brighton & Hove Albion,Chelsea,1,2
1715799600,Manchester United,Newcastle United,3,2
1716130800,Arsenal,Everton,2,1
1716130800,Brentford,Newcastle United,2,4
1716130800,Brighton & Hove Albion,Manchester United,0,2
1716130800,Burnley,Nottingham Forest,1,2
1716130800,Chelsea,AFC Bournemouth,2,1
1716130800,Crystal Palace,Aston Villa,5,0
1716130800,Liverpool,Wolverhampton Wanderers,2,0
1716130800,Luton Town,Fulham,2,4
1716130800,Manchester City,West Ham United,3,1
1716130800,Sheffield United,Tottenham Hotspur,0,3
1723834800,Manchester United,Fulham,1,0
1723894200,Ipswich Town,Liverpool,0,2
1723903200,Arsenal,Wolverhampton Wanderers,2,0
1723903200,Everton,Brighton & Hove Albion,0,3
1723903200,Newcastle United,Southampton,1,0
1723903200,Nottingham Forest,AFC Bournemouth,1,1
1723912200,West Ham United,Aston Villa,1,2
1723986000,Brentford,Crystal Palace,2,1
1723995000,Chelsea,Manchester City,0,2
1724094000,Leicester City,Tottenham Hotspur,1,1
1724499000,Brighton & Hove Albion,Manchester United,2,1
1724508000,Crystal Palace,West Ham United,0,2
1724508000,Fulham,Leicester City,2,1
1724508000,Manchester City,Ipswich Town,4,1
1724508000,Southampton,Nottingham Forest,0,1
1724508000,Tottenham Hotspur,Everton,4,0
1724517000,Aston Villa,Arsenal,0,2
1724590800,AFC Bournemouth,Newcastle United,1,1
1724590800,Wolverhampton Wanderers,Chelsea,2,6
1724599800,Liverpool,Brentford,2,0
1725103800,Arsenal,Brighton & Hove Albion,1,1
1725112800,Brentford,Southampton,3,1
1725112800,Everton,AFC Bournemouth,2,3
1725112800,Ipswich Town,Fulham,1,1
1725112800,Leicester City,Aston Villa,1,2
1725112800,Nottingham Forest,Wolverhampton Wanderers,1,1
1725121800,West Ham United,Manchester City,1,3
1725193800,Chelsea,Crystal Palace,1,1
1725193800,Newcastle United,Tottenham Hotspur,2,1
1725202800,Manchester United,Liverpool,0,3
1726313400,Southampton,Manchester United,0,3
1726322400,Brighton & Hove Albion,Ipswich Town,0,0
1726322400,Crystal Palace,Leicester City,2,2
1726322400,Fulham,West Ham United,1,1
1726322400,Liverpool,Nottingham Forest,0,1
1726322400,Manchester City,Brentford,2,1
1726331400,Aston Villa,Everton,3,2
1726340400,AFC Bournemouth,Chelsea,0,1
1726405200,Tottenham Hotspur,Arsenal,0,1
1726414200,Wolverhampton Wanderers,Newcastle United,1,2
1726918200,West Ham United,Chelsea,0,3
1726927200,Aston Villa,Wolverhampton Wanderers,3,1
1726927200,Fulham,Newcastle United,3,1
1726927200,Leicester City,Everton,1,1
1726927200,Liverpool,AFC Bournemouth,3,0
1726927200,Southampton,Ipswich Town,1,1
1726927200,Tottenham Hotspur,Brentford,3,1
1726936200,Crystal Palace,Manchester United,0,0
1727010000,Brighton & Hove Albion,Nottingham Forest,2,2
1727019000,Manchester City,Arsenal,2,2
1727523000,Newcastle United,Manchester City,1,1
1727532000,Arsenal,Leicester City,4,2
1727532000,Brentford,West Ham United,1,1
1727532000,Chelsea,Brighton & Hove Albion,4,2
1727532000,Everton,Crystal Palace,2,1
1727532000,Nottingham Forest,Fulham,0,1
1727541000,Wolverhampton Wanderers,Liverpool,1,2
1727614800,Ipswich Town,Aston Villa,2,2
1727623800,Manchester United,Tottenham Hotspur,0,3
1727722800,AFC Bournemouth,Southampton,3,1
1728127800,Crystal Palace,Liverpool,0,1
1728136800,Arsenal,Southampton,3,1
1728136800,Brentford,Wolverhampton Wanderers,5,3
1728136800,Leicester City,AFC Bournemouth,1,0
1728136800,Manchester City,Fulham,3,2
1728136800,West Ham United,Ipswich Town,4,1
1728145800,Everton,Newcastle United,0,0
1728219600,Aston Villa,Manchester United,0,0
1728219600,Chelsea,Nottingham Forest,1,1
1728228600,Brighton & Hove Albion,Tottenham Hotspur,3,2
1729337400,Tottenham Hotspur,West Ham United,4,1
1729346400,Fulham,Aston Villa,1,3
1729346400,Manchester United,Brentford,2,1
1729346400,Newcastle United,Brighton & Hove Albion,0,1
1729346400,Southampton,Leicester City,2,3
1729347300,Ipswich Town,Everton,0,2
1729355400,AFC Bournemouth,Arsenal,2,0
1729429200,Wolverhampton Wanderers,Manchester City,1,2
1729438200,Liverpool,Chelsea,2,1
1729537200,Nottingham Forest,Crystal Palace,1,0
1729882800,Leicester City,Nottingham Forest,1,3
1729951200,Aston Villa,AFC Bournemouth,1,1
1729951200,Brentford,Ipswich Town,4,3
1729951200,Brighton & Hove Albion,Wolverhampton Wanderers,2,2
1729951200,Manchester City,Southampton,1,0
1729960200,Everton,Fulham,1,1
1730037600,Chelsea,Newcastle United,2,1
1730037600,Crystal Palace,Tottenham Hotspur,1,0
1730037600,West Ham United,Manchester United,2,1
1730046600,Arsenal,Liverpool,2,2
1730550600,Newcastle United,Arsenal,1,0
1730559600,AFC Bournemouth,Manchester City,2,1
1730559600,Ipswich Town,Leicester City,1,1
1730559600,Liverpool,Brighton & Hove Albion,2,1
1730559600,Nottingham Forest,West Ham United,3,0
1730559600,Southampton,Everton,1,0
1730568600,Wolverhampton Wanderers,Crystal Palace,2,2
1730642400,Tottenham Hotspur,Aston Villa,4,1
1730651400,Manchester United,Chelsea,1,1
1730750400,Fulham,Brentford,2,1
1731164400,Brentford,AFC Bournemouth,3,2
1731164400,Crystal Palace,Fulham,0,2
1731164400,West Ham United,Everton,0,0
1731164400,Wolverhampton Wanderers,Southampton,2,0
1731173400,Brighton & Hove Albion,Manchester City,2,1
1731182400,Liverpool,Aston Villa,2,0
1731247200,Manchester United,Leicester City,3,0
1731247200,Nottingham Forest,Newcastle United,1,3
1731247200,Tottenham Hotspur,Ipswich Town,1,2
1731256200,Chelsea,Arsenal,1,1
1732365000,Leicester City,Chelsea,1,2
1732374000,AFC Bournemouth,Brighton & Hove Albion,1,2
1732374000,Arsenal,Nottingham Forest,3,0
1732374000,Aston Villa,Crystal Palace,2,2
1732374000,Everton,Brentford,0,0
1732374000,Fulham,Wolverhampton Wanderers,1,4
1732383000,Manchester City,Tottenham Hotspur,0,4
1732456800,Southampton,Liverpool,2,3
1732465800,Ipswich Town,Manchester United,1,1
1732564800,Newcastle United,West Ham United,0,2
1732910400,Brighton & Hove Albion,Southampton,1,1
1732978800,Brentford,Leicester City,4,1
1732978800,Crystal Palace,Newcastle United,1,1
1732978800,Nottingham Forest,Ipswich Town,1,0
1732978800,Wolverhampton Wanderers,AFC Bournemouth,2,4
1732987800,West Ham United,Arsenal,2,5
1733059800,Chelsea,Aston Villa,3,0
1733059800,Manchester United,Everton,4,0
1733059800,Tottenham Hotspur,Fulham,1,1
1733068800,Liverpool,Manchester City,2,0
1733254200,Ipswich Town,Crystal Palace,0,1
1733256900,Leicester City,West Ham United,3,1
1733340600,Everton,Wolverhampton Wanderers,4,0
1733340600,Manchester City,Nottingham Forest,3,0
1733340600,Newcastle United,Liverpool,3,3
1733340600,Southampton,Chelsea,1,5
1733343300,Arsenal,Manchester United,2,0
1733343300,Aston Villa,Brentford,3,1
